date,date_iso,title,city,mode,price,url,description_short,keywords_match,score,format,topic,organizer,source,is_new
30 Apr 2026,2026-04-30T00:00:00+00:00,Demo Day: Fintech Newcomers,Copenhagen,In-person,See event,https://www.copenhagenfintech.dk/events/1977360521549,,fintech,60,Demo Day,Fintech & Banking,Copenhagen Fintech,copenhagen_fintech,True
21 Sep 2026,2026-09-21T00:00:00+00:00,Nordic Fintech Week 2026,Copenhagen,In-person,See event,https://www.copenhagenfintech.dk/events/nordic-fintech-week-2026,,fintech,50,Other,Fintech & Banking,Copenhagen Fintech,copenhagen_fintech,True
24 Sep 2026,2026-09-24T00:00:00+00:00,Nordic Fintech Week – Exclusive Partners Lunch (Invite Only),Copenhagen,In-person,See event,https://www.copenhagenfintech.dk/events/nordic-fintech-week---exclusive-partners-lunch-invite-only,"An invite-only lunch session bringing together selected scale-ups, corporate partners, and influential leaders from the Nordic financial eco",fintech,50,Meetup,Fintech & Banking,Copenhagen Fintech,copenhagen_fintech,True
12 May 2026,2026-05-12T00:00:00+00:00,Scaleup Masterclass: German-Market-Entry workshop. Stockholm edit.,Copenhagen,In-person,See event,https://www.copenhagenfintech.dk/events/scaleup-masterclass-german-market-entry-workshop-stockholm-edit,"Stockholm edit. Workshop for Nordic fintechs entering Germany: strategy, expert talks, and group work. Hosted by Copenhagen Fintech.",fintech,45,Workshop,Fintech & Banking,Copenhagen Fintech,copenhagen_fintech,True
22 Apr 2026,2026-04-22T12:00:00+00:00,Kaffesymbiosen & cirkularitet | Inspirationsmøde for FM & Indkøb,København,In-person,Free,https://lu.ma/at7vrjsi,,iOS,40,Other,Mobile & Design,,luma_copenhagen,True
02 Jun 2026,2026-06-02T00:00:00+00:00,Money20/20 Europe 2026 Delegation,Copenhagen,In-person,See event,https://www.copenhagenfintech.dk/events/money20-20-europe-2026-delegation,"Join Copenhagen FinTech delegation to Money20/20 Europe, June 2–4 in Amsterdam — insights, deals & networking for fintech leaders!",fintech,40,Meetup,Fintech & Banking,Copenhagen Fintech,copenhagen_fintech,True
18 Nov 2026,2026-11-18T00:00:00+00:00,Slush 2026 Delegation,Copenhagen,In-person,See event,https://www.copenhagenfintech.dk/events/slush-2026-delegation,"Join Copenhagen FinTech at the Slush 2026 delegation in Helsinki, Nov 18–19 — founders, investors & deep networking!",fintech,40,Meetup,Fintech & Banking,Copenhagen Fintech,copenhagen_fintech,True
25 Apr 2026,2026-04-25T08:00:00+00:00,SB Training weekend workout,København,In-person,Free,https://lu.ma/zidsxuqc,,AI,30,Workshop,Other,,luma_copenhagen,True
28 Apr 2026,2026-04-28T14:00:00+00:00,"MaritimeTech, Unfiltered: Built in Denmark, Scaling Everywhere",København,In-person,Free,https://lu.ma/0pki96tg,,UI,30,Other,General Tech,,luma_copenhagen,True
29 Apr 2026,2026-04-29T16:00:00+00:00,Founder session: Lessons from raising VC funding,København,In-person,Free,https://lu.ma/i2sfmsvs,,AI,25,Other,Other,,luma_copenhagen,True
09 Jun 2026,2026-06-09T00:00:00+00:00,Demo Day: Digital Assets,Copenhagen,In-person,See event,https://www.copenhagenfintech.dk/events/1977367075151,,,20,Demo Day,Crypto & Web3,Copenhagen Fintech,copenhagen_fintech,True
23 Apr 2026,2026-04-23T13:00:00+00:00,VERMLAND SHOWROOM OPENING,København,In-person,Free,https://lu.ma/on5ak75g,,,15,Other,Other,,luma_copenhagen,True
23 Apr 2026,2026-04-23T16:00:00+00:00,basedtour: cph,København,In-person,Free,https://lu.ma/yz9jkud3,,,15,Other,Other,,luma_copenhagen,True
23 Apr 2026,2026-04-23T16:00:00+00:00,BriefPack,København,In-person,Free,https://lu.ma/pardh6do,,,15,Other,Other,,luma_copenhagen,True
25 Apr 2026,2026-04-25T06:00:00+00:00,Kala Social Run,København,In-person,Free,https://lu.ma/hr5du2z1,,,15,Other,Other,,luma_copenhagen,True
27 Apr 2026,2026-04-27T16:00:00+00:00,ClawCon Copenhagen,København,In-person,Free,https://lu.ma/clawconcopenhagen,,,15,Other,Other,,luma_copenhagen,True
29 Apr 2026,2026-04-29T14:00:00+00:00,Vibe Coding København #4,København,In-person,Free,https://lu.ma/gvy6i6pg,,,15,Other,Other,,luma_copenhagen,True
29 Apr 2026,2026-04-29T15:00:00+00:00,Hybrid Social Ride (Pace 26-28),København,In-person,Free,https://lu.ma/28koqh0d,,,15,Other,Other,,luma_copenhagen,True
30 Apr 2026,2026-04-30T15:00:00+00:00,AI x Design Copenhagen - 4th Edition,Frederiksberg,In-person,Free,https://lu.ma/ph7xqr4m,,AI,15,Other,Other,,luma_copenhagen,True
01 May 2026,2026-05-01T20:00:00+00:00,Dimmer.1,København,In-person,Free,https://lu.ma/7es5hylq,,,15,Other,Other,,luma_copenhagen,True
05 May 2026,2026-05-05T17:00:00+00:00,Curious Neighbours: Nordvest Meetup,København,In-person,Free,https://lu.ma/q5tq5497,,,15,Meetup,Other,,luma_copenhagen,True
09 May 2026,2026-05-09T10:55:00+00:00,Hybrid Social x NRTHRN Strong x Matas (Goodiebags Included worth 700 DKK),København,In-person,Free,https://lu.ma/spvci4li,,,15,Other,Other,,luma_copenhagen,True
18 May 2026,2026-05-18T17:00:00+00:00,🤸‍♂️F*ck the Small Talk: Copenhagen #4,København,In-person,Free,https://lu.ma/ftst4copenhagen,,,15,Other,Other,,luma_copenhagen,True
23 Apr 2026,2026-04-23T00:00:00+00:00,[Finsweet Attributes] A11Y,Copenhagen,In-person,See event,https://luma.com/episode1-how-boards-decide,"(()=>{var t=""https://cdn.jsdelivr.net/npm/@finsweet/attributes-a11y@1/a11y.js"",e=document.querySelector(`script[src=""${t}""]`);e||(e=document.createElement(""script""),e.async=!0,e.src=t,document.head.append(e));})();",,10,Other,Other,Copenhagen Fintech,copenhagen_fintech,True
06 May 2026,2026-05-06T00:00:00+00:00,"Quantum Computing in Finance - Quantum as a Component, not a Replacement",Copenhagen,In-person,See event,https://www.copenhagenfintech.dk/events/quantum-computing-in-finance---quantum-as-a-component-not-a-replacement,Join and get a clear and realistic understanding of where quantum stands today and what it could mean for financial organisations.,,10,Other,Other,Copenhagen Fintech,copenhagen_fintech,True
26 May 2026,2026-05-26T00:00:00+00:00,General Assembly 2026,Copenhagen,In-person,See event,https://www.copenhagenfintech.dk/events/1981930275807,,,10,Other,Other,Copenhagen Fintech,copenhagen_fintech,True
26 May 2026,2026-05-26T00:00:00+00:00,[Finsweet Attributes] A11Y,Copenhagen,In-person,See event,https://kitchen.au.dk/events/show-kitchen-events/artikel/capital-connect-february?_cldee=kAr6GSqWnlJYHc9cUNRfKm4k5X4QbCXA76Q6CaQDchyGgC4gpHRGy0o5jHEPHv8t&recipientid=contact-0780433073cbf011bbd36045bd97f208-f1062a331186456caaf5fb9757da0972&esid=4b75602d-f,"(()=>{var t=""https://cdn.jsdelivr.net/npm/@finsweet/attributes-a11y@1/a11y.js"",e=document.querySelector(`script[src=""${t}""]`);e||(e=document.createElement(""script""),e.async=!0,e.src=t,document.head.append(e));})();",,10,Other,Other,Copenhagen Fintech,copenhagen_fintech,True
27 Apr 2026,2026-04-27T00:00:00+00:00,NYC delegation 2026,NYC,In-person,See event,https://www.copenhagenfintech.dk/events/1979982476888,,,5,Delegation,Other,Copenhagen Fintech,copenhagen_fintech,True
08 Jun 2026,2026-06-08T00:00:00+00:00,London Delegation 2026,London,In-person,See event,https://www.copenhagenfintech.dk/events/1979982477891,,,5,Delegation,Other,Copenhagen Fintech,copenhagen_fintech,True
23 Jun 2026,2026-06-23T00:00:00+00:00,Frankfurt Delegation 2026,Frankfurt,In-person,See event,https://www.copenhagenfintech.dk/events/1979982743686,,,5,Delegation,Other,Copenhagen Fintech,copenhagen_fintech,True
18 Nov 2026,2026-11-18T00:00:00+00:00,Singapore Delegation 2026,Singapore,In-person,See event,https://www.copenhagenfintech.dk/events/singapore-delegation-2026,"Get ready to dive into the future of finance at the Singapore Delegation 2026, where innovation meets tradition!",,5,Delegation,Other,Copenhagen Fintech,copenhagen_fintech,True
